allegation,allegation_classification,allegation_categories,allegation_categories_description
false reports,Falsifying Statements and Reports,,
article 56: quarreling; fighting,Excessive Use of Force,,
possessission of drugs prohibited,Engaging in Criminal Activity,,
video audio,Improper Use or Destruction of Equipment,,
social networking violation,Neglect of Duty and Professionalism,,
mobile video audio recording,Improper Use or Destruction of Equipment,,
accountability and control of evidence and found property,Mishandling Evidence,,
undetermined,Other Allegation,,
officer lethal force incident review,Excessive Use of Force,,
fictitious illness,Falsifying Statements and Reports,,
article 24: violation of rules,Neglect of Duty and Professionalism,,
article 55: use,Other Allegation,,
obligation in general,Neglect of Duty and Professionalism,,
leaving area of responsibility,Neglect of Duty and Professionalism,,
intimidation,Neglect of Duty and Professionalism,,
extended sick leave absence,Neglect of Duty and Professionalism,,
extensive sick leave absence,Neglect of Duty and Professionalism,,
r1-21 sexual harassment,Sexual Misconduct and Harassment,,
general rules of conduct l2b,Neglect of Duty and Professionalism,,
false or inaccurate reports,Falsifying Statements and Reports,,
injury,Neglect of Duty and Professionalism,,
personal responsibility,Neglect of Duty and Professionalism,,
"substance abuse, drug testing policy (alcohol)",Engaging in Criminal Activity,,
period of duty {fitness for duty),Neglect of Duty and Professionalism,,
use of department property,Improper Use or Destruction of Equipment,,
absence without official leavel leave,Neglect of Duty and Professionalism,,
conformance to laws,Engaging in Criminal Activity,,
loyalty to the department,Neglect of Duty and Professionalism,,
internet sites,Neglect of Duty and Professionalism,,
fleet accident,Improper Use or Destruction of Equipment,,
relations with other members,Neglect of Duty and Professionalism,,
substance abuse policy,Neglect of Duty and Professionalism,,
associations,Engaging in Criminal Activity,,
reporting for duty,Neglect of Duty and Professionalism,,
negligent discharge,Excessive Use of Force,,
department reports,Neglect of Duty and Professionalism,,
meals breaks,Neglect of Duty and Professionalism,,
inmate records,Mishandling Evidence,,
first degree rape,Sexual Misconduct and Harassment,,
absent without leave,Neglect of Duty and Professionalism,,
damaging assigned vehicle,Improper Use or Destruction of Equipment,,
badge of office,Neglect of Duty and Professionalism,,
internal affairs complaint review,Neglect of Duty and Professionalism,,
mechanically or digitally recording conversations,Improper Use or Destruction of Equipment,,
department vehicles,Improper Use or Destruction of Equipment,,
notification of illness or injury,Neglect of Duty and Professionalism,,
assault or battery,Excessive Use of Force,,
policy and procedures,Neglect of Duty and Professionalism,,
inmate supervision and relations - general,Neglect of Duty and Professionalism,,
rude and unprofessional (je|nb),Neglect of Duty and Professionalism,,
observance of work schedule,Neglect of Duty and Professionalism,,
safe speed violation,Engaging in Criminal Activity,,
recklessly operation of a vehicle,Neglect of Duty and Professionalism,,
cubo,Other Allegation,,
violation of pursuit policy,Neglect of Duty and Professionalism,,
release of confidential document,Improper Use or Destruction of Equipment,,
red-flex violation,Neglect of Duty and Professionalism,,
late reports,Neglect of Duty and Professionalism,,
vehicle crashes,Improper Use or Destruction of Equipment,,
disobeyed directive,Neglect of Duty and Professionalism,,
off duty security,Neglect of Duty and Professionalism,,
missing money,Engaging in Criminal Activity,,
falsifying records,Falsifying Statements and Reports,,
professional conduct and responsibilities,Neglect of Duty and Professionalism,,
unauthorized release of information,Neglect of Duty and Professionalism,,
rumors,Other Allegation,,
unauthorized use of lcg computer,Improper Use or Destruction of Equipment,,
excessive force kh,Excessive Use of Force,,
attention to duty,Neglect of Duty and Professionalism,,
interfering with an investigation,Falsifying Statements and Reports,,
alarming the public,Falsifying Statements and Reports,,
professional conduct,Neglect of Duty and Professionalism,,
failure to process scene,Mishandling Evidence,,
unnecessary discharge of issued firearm,Excessive Use of Force,,
failure to submit summons and evidence,Mishandling Evidence,,
issuing an unlawful order,"Improper Stop, Search, or Arrest",,
ois,Excessive Use of Force,,
failure to report an accident,Mishandling Evidence,,
handling of evidence,Mishandling Evidence,,
arrest,"Improper Stop, Search, or Arrest",,
improper handling of evidence,Mishandling Evidence,,
tech management,Improper Use or Destruction of Equipment,,
failure to notify supervisor of property damage,Neglect of Duty and Professionalism,,
misappropriation of funds,Engaging in Criminal Activity,,
fit for duty,Neglect of Duty and Professionalism,,
falsifying police reports,Falsifying Statements and Reports,,
failure to report damage to patrol unit,Improper Use or Destruction of Equipment,,
failure to take report,Neglect of Duty and Professionalism,,
officer involved,Excessive Use of Force,,
providing false information on application,Falsifying Statements and Reports,,
failure to check building,Neglect of Duty and Professionalism,,
complete report,Neglect of Duty and Professionalism,,
failure to properly investigate incident,Neglect of Duty and Professionalism,,
failure to complete proper investigation,Neglect of Duty and Professionalism,,
false statements,Falsifying Statements and Reports,,
threats,General Harassment,,
perjury,Falsifying Statements and Reports,,
disobey direct order,Neglect of Duty and Professionalism,,
unauthorized entry into the complainant's residence,"Improper Stop, Search, or Arrest",,
failure to honor city court subpoena,"Improper Stop, Search, or Arrest",,
general conduct fighting,Engaging in Criminal Activity,,
unauthorized criminal history and background checks,Improper Use or Destruction of Equipment,,
failure to turn in evidence,Mishandling Evidence,,
failure to honor subpoena,"Improper Stop, Search, or Arrest",,
unexcused absence,Neglect of Duty and Professionalism,,
failure to secure prisoner,Neglect of Duty and Professionalism,,
theft,Engaging in Criminal Activity,,
unexplained and undocumented damage to police vehicle,Improper Use or Destruction of Equipment,,
oen conduct sick leave,Neglect of Duty and Professionalism,,
illegal investigation,Engaging in Criminal Activity,,
failure to secure vehicle,Improper Use or Destruction of Equipment,,
failure to have prisoner properly evaluated,Neglect of Duty and Professionalism,,
operation of police vehicle,Improper Use or Destruction of Equipment,,
malfeasance,Engaging in Criminal Activity,,
unauthorized investigation,"Improper Stop, Search, or Arrest",,
cubo (missing evidence),Mishandling Evidence,,
failure to properly dispose of items turned in to front desk,Mishandling Evidence,,
damaging public records,Improper Use or Destruction of Equipment,,
unauthorized search,"Improper Stop, Search, or Arrest",,
disconnected in car camera system,Improper Use or Destruction of Equipment,,
failure to complete report,Neglect of Duty and Professionalism,,
issued unlawful order,"Improper Stop, Search, or Arrest",,
falsified information on an accident report,Falsifying Statements and Reports,,
interfered with a lawful arrest,Neglect of Duty and Professionalism,,
bwc,Other Allegation,,
destruction of evidence,Mishandling Evidence,,
reckless driving,Improper Use or Destruction of Equipment,,
violation of ods general order,Neglect of Duty and Professionalism,,
failed to attend inservice,Neglect of Duty and Professionalism,,
accident review,Neglect of Duty and Professionalism,,
lt. scott morgan,Other Allegation,,
spreading rumors,Neglect of Duty and Professionalism,,
residency requirement,Neglect of Duty and Professionalism,,
cubo- failure to take report,Neglect of Duty and Professionalism,,
poor supervisory judgment,Neglect of Duty and Professionalism,,
"managing recovered, found, or seized property",Mishandling Evidence,,
failure to clear call in a timely manner,Neglect of Duty and Professionalism,,
violation of informant policy,Neglect of Duty and Professionalism,,
Failure to Upload Professionalism and Performance,Neglect of Duty and Professionalism,,
arrest search and seizure,"Improper Stop, Search, or Arrest",,
use of force/Failure to Upload Professionalism and Performance,Excessive Use of Force,,
intervention in civil matter,Neglect of Duty and Professionalism,,
identification/unsatisfactory performance,Neglect of Duty and Professionalism,,
treatment of persons in custody,Neglect of Duty and Professionalism,,
prea,Other Allegation,,
bias-based profiling,Racial Profiling and Discrimination,,
treatment of prisoners in custody,Neglect of Duty and Professionalism,,
police action off-duty,Neglect of Duty and Professionalism,,
interference,Neglect of Duty and Professionalism,,
identification,Other Allegation,,
operation of vehicle,Improper Use or Destruction of Equipment,,
body worn camera,Other Allegation,,
unlawful harassment/courtesy,General Harassment,,
accused or convicted of a crime,Engaging in Criminal Activity,,
treatment of persons in custody prea unfounded,Neglect of Duty and Professionalism,,
treatment of prisoners,Neglect of Duty and Professionalism,,
intoxicants,Engaging in Criminal Activity,,
vehicle use,Improper Use or Destruction of Equipment,,
unlawful harassment,General Harassment,,
police action off duty,General Harassment,,
firearm discharge,Improper Use or Destruction of Equipment,,
Failure to Upload Professionalism and Performance/request for assistance,Neglect of Duty and Professionalism,,
courtesy/unlawful harassment,General Harassment,,
use of force/reports,Excessive Use of Force,,
employee searches,Neglect of Duty and Professionalism,,
courtesy/unsatisfactory performance,Neglect of Duty and Professionalism,,
conformance of laws,Neglect of Duty and Professionalism,,
e-mail policy,Improper Use or Destruction of Equipment,,
departmental reports,Neglect of Duty and Professionalism,,
